旅宿名稱,地址,電話,官方網站,總房間數,定價,定價i,星級
台北艾麗酒店,臺北市信義區松高路18號,02-66318000,http://humblehousehotels.com/,235間,NT$0-19000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),0,-
慕誠行旅,臺北市信義區基隆路二段48號1樓至3樓,02-27252168,-,33間,NT$100-50000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),100,-
卡夫人背包客棧,臺北市中正區館前路34號7樓,02-23881666,https://www.cavemen.com.tw/,14間,NT$300-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),300,-
天使青旅,臺北市中正區衡陽路51號2樓之2,02-23131319,-,8間,NT$399-1320(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),399,-
愛玩客旅店,臺北市萬華區西寧南路30號12樓,02-23316008,-,1間,NT$500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
福來旅社,臺北市大同區南京西路344巷13號1-4樓,02-2555085725550427,-,37間,NT$500-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),500,-
台北北門窩泊旅,臺北市大同區太原路92巷2之1、2之2、2之3、2之4號(1樓至4樓),02-25525068,http://www.wowposhtel.com,19間,NT$540-4500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),540,-
西門希爾商旅,臺北市萬華區峨眉街28號4樓之1、4樓之2、4樓之3,02-23810081,https://hotelshere.com.tw,15間,NT$600-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
五月家青旅北車館,臺北市中正區忠孝西路一段122號6樓,02-23822929,https://mayrooms.info/main-station/,5間,NT$600-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
獅城旅館,臺北市大同區華陰街179號3-5樓,02-25591231,-,67間,NT$600-2480(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
大安公園旅店,臺北市中正區信義路2段271號8樓,02-23965222,https://www.daanparkhotel.com,13間,NT$600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
東門3號膠囊旅店,臺北市大安區信義路2段110號,02-23583299,https://book-directonline.com/properties/dongmen3capsuleinndirect?checkInDate=2021-03-05&checkOutDate=2021-03-06&locale=zh-TW&currency=TWD&items[0][adults]=2&items[0][children]=0&items[0][infants]=0,4間,NT$600-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),600,-
龍蝦先生的秘密巢穴,臺北市大同區重慶北路一段22號9樓,02-25558752,-,33間,NT$640-4400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),640,-
東門大旅社,臺北市中正區臨沂街78號2-4樓,02-23560210,https://www.facebook.com/dongmenhotel,26間,NT$650-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),650,-
拉開門輕旅,臺北市中正區紹興北街8號4樓之1至4樓之3,02-33223599,-,6間,NT$700-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
真珠賓館,臺北市士林區延平北路五段67號3樓,02-28127971,-,6間,NT$700-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
華宮旅社,臺北市萬華區西昌街157號,02-23142627,-,14間,NT$700-700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),700,-
品格子旅店西門館,臺北市萬華區西寧南路30號8樓,02-23618008,-,35間,NT$750-7600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),750,-
力歐時尚旅館西門館,"臺北市萬華區康定路25巷36弄4,6號2-4樓",02-23889855,-,17間,NT$800-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
好域旅店,臺北市中山區華陰街28號1-3樓,02-25625082,https://www.taiwanstay.net.tw/room/19066,12間,NT$800-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
所在行旅,臺北市中正區忠孝西路一段50號24樓之6,02-77552077,-,2間,NT$800-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
大榮大旅社,臺北市萬華區西寧南路185號2-4樓,02-23316527,-,17間,NT$800-800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),800,-
趣旅館‧林森館,臺北市中山區林森北路487號1樓至2樓,02-25683242,http://www.hotelfuntw.com/,123間,NT$850-3650(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),850,-
松林旅社,臺北市萬華區桂林路174號3至5樓及夾層、176號1至5樓及夾層,02-23067122~3,http://songlin.tw/,31間,NT$850-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),850,-
光漾昶品旅館,臺北市大同區重慶北路1段1號10樓之1,02-25597605,https://www.apt10f.com,9間,NT$900-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
黛芬旅館,臺北市萬華區昆明街76號3樓,"02-23719751,23115170",-,15間,NT$900-900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),900,-
緒遠旅館,臺北市中山區錦州街20號3樓,02-25682005,-,8間,NT$980-1580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),980,-
日日吉旅店,臺北市大同區昌吉街1號1樓至3樓,02-25991787,-,21間,NT$980-2380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),980,-
在家行旅,臺北市中山區中山北路二段65巷2弄3號1-4樓,02-25413959,-,15間,NT$1000-6200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
柯達大飯店台北長安,臺北市中山區松江路61之1號1樓、4樓至11樓,02-25169999,http://changan.khotels.com.tw/zh-TW/,103間,NT$1000-30000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
合星旅館,臺北市大安區忠孝東路四段147巷5號3樓,02-27218225,https://www.starhosteleast.com/,18間,NT$1000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
柯達大飯店(台北一店),臺北市中山區中山北路二段11巷1號,02-25422222,http://taipei1.khotels.com.tw/zh-TW/,53間,NT$1000-22000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
柯達大飯店台北二店,臺北市中山區中山北路二段139號,02-25255555,http://taipei2.khotels.com.tw/zh-TW/,87間,NT$1000-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
景美大旅社,臺北市文山區景文街104號2-4樓,02-29313788,-,12間,NT$1000-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
瘋台北青旅,臺北市中正區延平南路21號2樓及6樓,02-23821818,http://www.funinn.com.tw,17間,NT$1000-4800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
大昌旺商旅,臺北市中山區天津街43號1至4樓,02-21001118,https://www.agoda.com/zh-tw/hostel103cafe/hotel/taipei-tw.html?cid=1844104,21間,NT$1000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
古山園旅社,臺北市萬華區華西街40巷16號,02-23067408,-,20間,NT$1000-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
柯達大飯店台北林森,"臺北市中山區林森北路74號,76號1樓至8樓",02-25712222,http://linsen.khotels.com.tw/zh-TW/,49間,NT$1000-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
安庭台北商務旅館,臺北市大安區忠孝東路四段197號12樓、12樓之1、12樓之4、12樓之5、12樓之9,02-27780920,-,41間,NT$1000-8800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
國州大旅社,臺北市文山區羅斯福路四段208號1-2樓,02-23652284,https://mayrooms.info/ntu/,13間,NT$1000-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
米尼旅店,臺北市中正區忠孝西路一段23號5至6樓,02-23881516,https://miniinn.business.site/,8間,NT$1000-3260(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
芝加格旅館,臺北市中山區林森北路119巷41號,0955-623501,-,14間,NT$1000-1000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
世方旅居文旅,"臺北市中山區松江路485號1至5樓,5樓之1-3,6-7樓,7樓之1-5",02-25025000,https://www.hubhotel.com.tw/tsa/index.html,121間,NT$1000-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
夾腳拖的家長安122,臺北市大同區長安西路122號、124號1至4樓,02-25585050,http://www.flipflophostel.com,31間,NT$1000-5000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
窩客工作旅店,臺北市中正區公園路13號8樓、9樓,02-89782345,-,49間,NT$1000-1700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1000,-
客來思樂行旅,"臺北市大安區羅斯福路3段241號4-6樓,4-6樓之1",02-23626555,-,20間,NT$1080-1380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1080,-
小雅旅店,臺北市松山區八德路四段616號5樓,02-27631122,https://www.taipeihotels.tw/Hotels/hotel/293,17間,NT$1100-6400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
欣和大旅社,臺北市大安區羅斯福路2段75-1號2-6樓,02-23660105,-,38間,NT$1100-2400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
欣欣時尚旅店,臺北市萬華區昆明街34號4樓,02-23112898,http://www.shinshinhotel.com,13間,NT$1100-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
華冠商旅HOTEL,臺北市萬華區西昌街137	、139號1-6樓,02-23616076,-,46間,NT$1100-1500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1100,-
紅菱閣賓館,"臺北市萬華區峨嵋街80,82號",02-23619696,http://redcabin.mmmtravel.com.tw/,27間,NT$1130-2380(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1130,-
一加一旅館,臺北市萬華區萬華區昆明街34號3樓,02-23892886,-,13間,NT$1200-2200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
新榮大旅社,臺北市士林區文林路116號,02-28812531,-,18間,NT$1200-1700(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
小角落旅店,臺北市大同區民族西路33號(1至4樓),02-25991699,https://www.5elementsdesignhotels.com/,5間,NT$1200-14400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1200,-
小王子甜蜜旅店,臺北市萬華區漢中街42號9樓,02-23820225,-,9間,NT$1280-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
旅莊Urhome,臺北市中山區中山北路一段105巷12-6號2至8樓,02-21001023,http://www.tpeurhome.com/index.html,32間,NT$1280-9800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
苓旅旅館中山館,"臺北市中山區建國北路2段91號1樓,93號1至7樓,2樓-1至7樓-1,95巷2號1樓,4號1樓",02-25084588,https://www.taiwanstay.net.tw/room/20706,42間,NT$1280-8580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1280,-
香榭峇里賓館,臺北市大安區忠孝東路三段305號7樓,02-27114159,-,9間,NT$1290-1390(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1290,-
旅晨行旅,臺北市中正區重慶南路一段1號2樓,02-23116388,-,23間,NT$1300-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
睡覺盒子旅館,臺北市中正區衡陽路34號1樓及36號地下之1、地下之2,02-55713713,-,41間,NT$1300-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1300,-
百悅旅社,"臺北市萬華區開封街2段42巷2號1-5樓,44-1號6-7樓",02-23881792,-,26間,NT$1380-2580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1380,-
北門文旅,臺北市大同區長安西路145巷3號,02-25567797,http://www.baymanhotel.com/index.php,15間,NT$1400-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,2
欣欣時尚旅店松山站,臺北市松山區八德路四段453巷12號8-9樓,02-27688832,http://www.shinshinhotels.com,32間,NT$1400-6200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
台北西門窩青年旅館,臺北市萬華區漢中街42號8樓,02-23315100,-,6間,NT$1400-1400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
南港安樂旅社,臺北市南港區南港路一段229號2-3樓,02-26511797,-,10間,NT$1400-1400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
宏洲旅社,臺北市萬華區漢中街4號1-7樓,02-23319841,-,28間,NT$1400-1400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1400,-
野趣光延旅館,臺北市中正區開封街一段2號2樓,02-23140202,http://www.tohoteltaipei.com/,44間,NT$1480-6800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1480,-
梅樓商務驛站,臺北市大同區鄭州路29巷1-1號2-4樓,02-2555-2587,-,18間,NT$1490-5830(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1490,-
漫映旅舍,臺北市中山區吉林路32號1-5樓,02-25222111,https://www.cchotel.com.tw/,14間,NT$1500-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
柯達大飯店台北天津,臺北市中山區中山北路1段53巷22號、22號4樓至8樓,02-25812222,http://www.khotels.com.tw/zh-TW/,57間,NT$1500-15000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
帥客旅店,臺北市中正區羅斯福路一段90巷2號1-5樓,02-23223887,-,32間,NT$1500-5400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
斯格加旅店,臺北市中山區林森北路72號1樓至4樓,02-25629117,https://4plus-hostel.com/zh/,7間,NT$1500-7000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
新秀閣大飯店,臺北市北投區光明路238號1-5樓,02-28912166,-,17間,NT$1500-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
台北這地方微旅店,臺北市中山區吉林路294號(1樓)及294之1號(2樓),02-25637522,-,3間,NT$1500-6000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
俞美飯店,臺北市萬華區武昌街二段106號2-8樓,02-23883008,http://www.beautyhotels.com.tw/,42間,NT$1500-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
碩美精品飯店,臺北市中山區中山北路2段71號3樓,02-25621598,-,25間,NT$1500-10000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
美上美旅館,臺北市萬華區西園路一段168號11樓,02-23088105,-,9間,NT$1500-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
幸福米窩,臺北市大安區忠孝東路四段107號7樓、7樓之2,02-27520006,https://taiwanstay.net.tw/,20間,NT$1500-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
泊居旅店二館,臺北市中山區林森北路96號3樓、3樓之1,02-25417766,-,14間,NT$1500-3900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
丹居青旅,臺北市萬華區漢中街154號,0977-066154,-,11間,NT$1500-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1500,-
百利大飯店,臺北市中山區錦西街6號,02-25117111,https://www.google.com/search?q=%E7%99%BE%E5%88%A9%E9%A3%AF%E5%BA%97&rlz=1C1CHBF_zh-TWTW912TW912&oq=&aqs=chrome.0.35i39i362l8...8.39304840j0j15&sourceid=chrome&ie=UTF-8,70間,NT$1580-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1580,-
瑞絲逸旅店,臺北市中山區林森北路96號2樓之1、之2,02-25641372,-,9間,NT$1580-1580(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1580,-
士林町旅店,臺北市士林區安平街26號1至4樓,02-28813133,https://inn-2028.business.site/?utm_source=gmb&utm_medium&fbclid=IwAR1QZsoZjMxdg3wOZJEsZvxlhrRWUfSfgsQBX3zDzo2Gmzt3AaJUB-745Jc,11間,NT$1600-1600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
富順大飯店,臺北市大同區南京西路177號,02-25551016,-,88間,NT$1600-3900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
福爾摩沙正旅館,臺北市中正區重慶南路一段1號3樓,02-23718230,-,23間,NT$1600-3600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
帛堯初見輕旅,臺北市萬華區忠孝西路2段38號,02-23886813,-,4間,NT$1600-8000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
昰美精品飯店,臺北市士林區天玉街38巷14號1-5樓,02-28730333,-,30間,NT$1600-26000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1600,-
福爾摩莎壹零壹旅館,臺北市信義區基隆路二段115號5樓、5樓之1及9樓,02-23771579,http://www.hostelformosa.com/contact_cn.html,34間,NT$1650-4400(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1650,-
瑞沂國際飯店,臺北市中山區松江路95-1號5樓,02-25041188,-,10間,NT$1650-1650(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1650,-
福爾摩莎北驛旅館,臺北市中正區漢口街一段45號4樓,02-23816089,https://www.hostelformosa.com,23間,NT$1666-4581(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1666,-
帝華旅社,臺北市萬華區康定路206號11-12樓,02-23118411,-,32間,NT$1680-3080(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
上賓大飯店,臺北市中山區錦州街23巷4號,02-25113232,http://www.viphotel.com.tw,50間,NT$1680-18800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,2
利成精品旅館,臺北市松山區南京東路五段322號,02-27661116,http://www.gshome.co,22間,NT$1680-3680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
富粧商務旅店,"臺北市萬華區康定路6,8號2-5樓",02-23711247,-,28間,NT$1680-8880(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
銀座飯店,臺北市中山區林森北路289號4樓之1～3,02-25627733,-,15間,NT$1680-5680(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
泊居旅店,臺北市中山區林森北路282號3樓,02-25617711,-,20間,NT$1680-3180(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1680,-
美寓旅店,臺北市松山區八德路三段2號14樓,02-25775170,https://www.meistay.tw/tw/index.html,34間,NT$1700-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1700,-
三隻老虎青年旅館,臺北市萬華區康定路25巷39號4樓,02-23755299,-,7間,NT$1700-5200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1700,-
天津大飯店,臺北市中山區天津街57號2-8樓,02-25365678,-,55間,NT$1750-1950(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1750,-
豪爵旅館,臺北市中山區吉林路379巷20號1至7樓及20之1號2樓至7樓、德惠街170巷24號1樓,02-25942977,http://www.metro-hotel.tw/,53間,NT$1780-6200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1780,-
泉都溫泉會館,臺北市北投區光明路220號,02-28960077,https://www.cdhotel.com.tw/,64間,NT$1800-7200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
美觀園旅社,臺北市萬華區西寧南路90巷13號,02-23314123,-,15間,NT$1800-2800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
嘉榮旅社,臺北市大同區太原路28巷11號2至4樓,02-25585887,-,15間,NT$1800-1800(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
壹零壹艾美琪旅店,臺北市大安區復興南路一段126巷1號4樓,02-27728101,http://www.101amicihotels.com/,36間,NT$1800-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
千慧旅館,臺北市大同區南京西路22號7樓,02-25552451,-,20間,NT$1800-2600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
皇家玫瑰旅館雙城館,臺北市中山區雙城街28巷8號,02-25958077,http://www.rosehotel.com.tw,17間,NT$1800-9000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1800,-
城美行旅,"臺北市中正區漢口街一段88,90號1-7樓",02-23147305,-,59間,NT$1820-12000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1820,-
富玉莊旅社,"臺北市士林區福港街149巷15弄8,10號2-3樓",02-28822308,https://richzonehotel.wixsite.com/rich,20間,NT$1900-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1900,-
松河璞旅,臺北市松山區松河街112號1樓至8樓,02-25281567,http://www.waterfronthotel.com.tw,42間,NT$1900-4000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1900,-
星美飯店,臺北市士林區前港街38-1,02-28828080,-,52間,NT$1900-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1900,-
東龍大飯店,臺北市萬華區漢口街二段23號1-7樓,02-23116969,http://www.east-dragon.com.tw,70間,NT$1920-3200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1920,-
麗雅精品旅館,臺北市中山區長春路62號8樓之1,02-25411133,-,12間,NT$1980-1980(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1980,-
溫拿旅館,臺北市北投區承德路7段380號1-5樓,02-28213191,-,28間,NT$1980-2500(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),1980,-
鴨川旅館,臺北市中山區中山北路二段65巷2弄60號1-6樓,02-25603965,-,20間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
美代溫泉飯店,臺北市北投區光明路281號1-3樓,02-28912174,https://www.beautyagespringhotel.com.tw/,20間,NT$2000-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
正二旅館,臺北市中正區漢口街一段2號3-9樓,02-23718230,-,55間,NT$2000-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
柯達大飯店台北松江,臺北市中山區松江路251號,02-25159999,http://songjiang.khotels.com.tw/zh-TW/,85間,NT$2000-22000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
東楓商旅,臺北市大安區忠孝東路四段209號7樓、7樓之1、7樓之2、211號7樓,02-27211511,-,22間,NT$2000-20000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
夜光商旅,臺北市萬華區內江街55巷11號1至4樓、13號2至4樓,02-23815059,-,16間,NT$2000-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
大來商旅,臺北市松山區長春路432號1-7樓,02-27160011,http://www.delighthotel.com.tw,62間,NT$2000-9900(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
華達大飯店,臺北市中正區重慶南路一段1號6樓,02-23110212,-,14間,NT$2000-4200(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
途中‧台北國際青年旅舍,臺北市北投區光明路82號1至5樓,02-28910230,http://www.onmywayhostel.com,10間,NT$2000-5600(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
福君海悅大飯店,臺北市大同區重慶北路一段62號1、4至10樓,02-25551122,http://www.FORTUNEHOTEL.COM,168間,NT$2000-18000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
仙渡莊旅社,臺北市北投區大度路三段304號,02-28913537,-,14間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
唐門客棧,臺北市中正區信義路二段33號2樓,02-23963322,-,28間,NT$2000-3000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
晶樺商務旅店,臺北市萬華區西園路一段168號10樓,02-23048788,-,10間,NT$2000-2000(定價係指各種房型之最高備查價格區間，各房型實際售價請依旅宿業者公布為主。),2000,-
